id,name,start_date,end_date,replaces,replaced_by
Q2827553,Ahmed Francis (FLN),1962-09-27,1963-09-04,,Q2878321
Q2878321,Bachir Boumaza (FLN),1963-09-04,1964-12-02,Q2827553,
,rattaché à la présidence,1964-12-02,1965-06-20,Q2878321,Q2827618
Q2827618,Ahmed Medeghri (FLN),1965-06-20,1965-07-10,,Q3194523
Q3194523,Kaid Ahmed (FLN),1965-07-10,1967-12-14,Q2827618,Q2827618
Q2827618,Ahmed Medeghri (FLN)(par intérim),1967-12-14,1968-03-07,Q3194523,Q2972065
Q2972065,Chérif Belkacem (FLN),1968-03-07,1970-03-17,Q2827618,Q2827618
Q2827618,Ahmed Medeghri (FLN)(par intérim),1970-03-17,1970-07-21,Q2972065,Q19629322
Q19629322,Smaïn Mahroug (FLN),1970-07-21,1976-02-14,Q2827618,Q19629323
Q19629323,Abdelmalek Temmam (FLN),1976-02-14,1977-04-23,Q19629322,Q510018
Q510018,Mohamed Seddik Ben Yahia (FLN),1977-04-23,1979-03-08,Q19629323,Q3272341
Q3272341,M'hamed Yala (FLN),1979-03-08,1982-01-12,Q510018,Q2911915
Q2911915,Boualem Benhamouda (FLN),1982-01-12,1986-02-18,Q3272341,Q19629324
Q19629324,Abdelaziz Khellef (FLN),1986-02-18,1988-11-09,Q2911915,Q327010
Q327010,Sid Ahmed Ghozali,1988-11-09,1989-09-09,Q19629324,Q19629326
Q19629326,Ghazi Hidouci,1989-09-09,1991-06-04,Q327010,
,Hocine Benissad,1991-06-04,1991-10-16,Q19629326,Q327010
Q327010,Sid Ahmed Ghozali,1991-10-16,1992-06-19,,Q327019
Q327019,Bélaïd Abdessalam,1992-07-08,1993-08-21,Q327010,
,Mourad Benachenhou,1993-09-04,1994-04-11,Q327019,Q401173
Q401173,Ahmed Benbitour,1994-04-11,1996-09-26,,
,Abdelkrim Harchaoui,1996-09-26,1999-12-23,Q401173,
,Abdelatif Benachenhou,1999-12-23,2001-05-31,,Q58145
Q58145,Mourad Medelci,2001-05-31,2002-06-04,,
,Mohamed Terbeche,2002-06-04,2003-05-05,Q58145,
,Abdelatif Benachenhou,2003-05-05,2005-05-01,,Q58145
Q58145,Mourad Medelci,2005-05-01,2007-06-04,,Q3193179
Q3193179,Karim Djoudi,2007-06-04,2014-04-29,Q58145,Q16855291
Q16855291,Mohamed Djellab,2014-05-05,2015-05-14,Q3193179,Q19953017
Q19953017,Abderrahmane Benkhalfa,2015-05-14,2016-06-11,Q16855291,Q24689725
Q24689725,Hadji Baba Ammi,2016-06-11,2017-05-24,Q19953017,Q30728993
Q30728993,Abderrahmane Raouya,2017-05-25,2019-03-31,Q24689725,Q62638293
Q62638293,Mohamed Loukal,2019-03-31,2020-01-04,Q30728993,Q30728993
Q30728993,Abderrahmane Raouya,2020-01-04,2020-06-23,Q62638293,
,Aymen Benabderrahme,2020-06-23,"",Q30728993,
